Time-(numerical),Time-(readable),CPU_perc,Mem_perc,cpu_freq_MHz,disk_read_MBps,disk_write_MBps,net_sent_MBps,net_recv_MBps,trigger_ctx
1760397243.5401356,2025-10-13T18:14:03,20.4,79.2,1711.0,0.0,0.106,0.001,0.003,
1760397244.576555,2025-10-13T18:14:04,21.4,79.3,1711.0,0.021,0.303,0.0,0.002,
1760397245.6082516,2025-10-13T18:14:05,33.1,79.4,1711.0,20.579,0.983,0.0,0.002,
1760397246.6348305,2025-10-13T18:14:06,25.5,79.5,1711.0,0.287,0.152,0.001,0.003,
1760397247.685616,2025-10-13T18:14:07,26.1,79.7,1711.0,0.123,0.291,0.002,0.003,
1760397248.7113097,2025-10-13T18:14:08,25.0,79.7,1711.0,0.066,0.172,0.006,0.008,
1760397249.7396603,2025-10-13T18:14:09,22.3,79.8,1711.0,0.0,0.291,0.001,0.002,
1760397250.7687442,2025-10-13T18:14:10,31.2,79.9,1711.0,11.08,0.254,0.001,0.002,
1760397251.8013504,2025-10-13T18:14:11,38.2,79.9,1711.0,4.63,0.381,0.008,0.014,
1760397252.8302062,2025-10-13T18:14:12,32.5,80.0,1711.0,0.218,0.242,0.006,0.008,
1760397253.8660731,2025-10-13T18:14:13,27.0,80.0,1711.0,0.098,0.221,0.001,0.002,
1760397254.9069457,2025-10-13T18:14:14,24.8,80.1,1711.0,0.042,1.233,0.001,0.003,
1760397255.9425635,2025-10-13T18:14:15,27.1,80.1,1711.0,0.0,0.262,0.0,0.002,
1760397256.9810114,2025-10-13T18:14:16,23.2,80.3,1711.0,0.001,0.0,0.0,0.002,
1760397258.015834,2025-10-13T18:14:18,23.6,80.4,1711.0,0.001,0.131,0.0,0.002,
1760397259.049151,2025-10-13T18:14:19,24.8,80.5,1711.0,0.001,0.475,0.006,0.004,
1760397260.0941143,2025-10-13T18:14:20,22.4,80.6,1711.0,0.016,0.152,0.001,0.002,
1760397261.130694,2025-10-13T18:14:21,21.4,80.7,1711.0,0.594,0.27,0.014,0.009,
1760397262.1587207,2025-10-13T18:14:22,23.7,80.8,1711.0,0.173,1.434,0.047,0.005,
1760397263.1888497,2025-10-13T18:14:23,17.1,80.8,1711.0,0.0,0.164,0.001,0.026,
1760397264.2247934,2025-10-13T18:14:24,15.9,80.8,1711.0,0.001,0.197,0.005,0.008,
1760397265.2636762,2025-10-13T18:14:25,15.1,80.8,1711.0,0.0,0.0,0.0,0.0,
1760397266.3017247,2025-10-13T18:14:26,17.3,80.5,1711.0,0.0,0.106,0.0,0.0,
1760397267.3335965,2025-10-13T18:14:27,20.8,80.1,1711.0,0.02,0.262,0.0,0.0,
1760397268.3669825,2025-10-13T18:14:28,15.3,80.1,1711.0,0.0,0.053,0.0,0.0,
1760397269.401937,2025-10-13T18:14:29,18.0,80.1,1711.0,0.0,0.0,0.008,0.006,
1760397270.4381545,2025-10-13T18:14:30,15.6,80.1,1711.0,0.066,0.258,0.0,0.0,
1760397271.465787,2025-10-13T18:14:31,17.8,80.1,1711.0,0.033,0.365,0.0,0.0,
1760397272.4973137,2025-10-13T18:14:32,16.3,80.1,1711.0,0.001,0.504,0.002,0.001,
1760397273.5283208,2025-10-13T18:14:33,18.1,80.1,1711.0,0.001,0.0,0.0,0.001,
1760397274.5633347,2025-10-13T18:14:34,38.9,81.0,1711.0,0.017,0.324,0.007,0.006,
1760397275.5988083,2025-10-13T18:14:35,53.8,81.2,1711.0,4.724,2.47,0.052,0.174,
1760397276.628871,2025-10-13T18:14:36,62.2,81.0,1711.0,4.704,4.739,0.048,0.419,
1760397277.6486497,2025-10-13T18:14:37,54.0,81.5,1711.0,3.802,1.343,0.028,0.07,
1760397278.6825783,2025-10-13T18:14:38,41.2,81.6,1711.0,0.455,3.265,0.016,0.108,
1760397279.7125256,2025-10-13T18:14:39,30.4,81.6,1711.0,0.647,0.725,0.006,0.007,
1760397280.7493713,2025-10-13T18:14:40,27.7,81.8,1711.0,1.712,1.499,0.025,0.036,
1760397281.7796926,2025-10-13T18:14:41,18.5,81.7,1711.0,0.0,0.0,0.0,0.001,
1760397282.8165622,2025-10-13T18:14:42,25.4,81.6,1711.0,0.188,3.158,0.0,0.0,
1760397283.849944,2025-10-13T18:14:43,20.2,81.5,1711.0,0.02,0.877,0.007,0.006,
1760397284.8794732,2025-10-13T18:14:44,25.3,81.4,1711.0,0.0,1.18,0.0,0.0,
1760397285.9104867,2025-10-13T18:14:45,23.9,81.3,1711.0,0.001,0.504,0.0,0.0,
1760397286.9451442,2025-10-13T18:14:46,23.9,81.2,1711.0,0.0,0.25,0.0,0.0,
1760397287.9748747,2025-10-13T18:14:47,26.0,81.1,1711.0,0.0,0.319,0.0,0.0,
1760397289.0023155,2025-10-13T18:14:49,22.3,81.1,1711.0,0.001,0.238,0.006,0.006,
1760397290.0311055,2025-10-13T18:14:50,23.1,81.1,1711.0,0.0,0.496,0.0,0.0,
1760397291.0684352,2025-10-13T18:14:51,17.0,81.1,1711.0,0.0,0.09,0.0,0.001,
1760397292.1075988,2025-10-13T18:14:52,18.0,81.2,1711.0,0.016,0.324,0.0,0.0,
1760397293.14348,2025-10-13T18:14:53,19.3,81.2,1711.0,0.001,0.545,0.0,0.0,
1760397294.18211,2025-10-13T18:14:54,21.4,81.1,1711.0,0.89,0.229,0.003,0.002,
1760397295.2124443,2025-10-13T18:14:55,20.1,81.1,1711.0,0.12,0.111,0.008,0.003,
1760397296.2431693,2025-10-13T18:14:56,44.7,82.1,1711.0,6.64,0.655,0.039,0.123,
1760397297.268563,2025-10-13T18:14:57,59.9,83.0,1711.0,0.814,5.546,0.054,0.442,
1760397298.2950318,2025-10-13T18:14:58,67.9,83.9,1711.0,0.999,4.42,0.043,0.041,
1760397299.327736,2025-10-13T18:14:59,35.7,83.8,1711.0,0.39,0.659,0.012,0.019,
1760397300.3560705,2025-10-13T18:15:00,25.3,83.9,1711.0,0.059,0.831,0.0,0.001,
1760397301.3897207,2025-10-13T18:15:01,27.3,84.0,1711.0,0.016,0.459,0.001,0.001,
1760397302.420688,2025-10-13T18:15:02,21.9,83.8,1711.0,0.025,0.496,0.0,0.0,
1760397303.4540672,2025-10-13T18:15:03,20.1,83.7,1711.0,0.0,0.0,0.0,0.0,
1760397304.4922073,2025-10-13T18:15:04,20.4,83.7,1711.0,0.0,0.406,0.007,0.005,
1760397305.5238485,2025-10-13T18:15:05,23.6,83.5,1711.0,0.107,0.684,0.0,0.003,
1760397306.566454,2025-10-13T18:15:06,26.9,83.2,1711.0,5.716,0.34,0.0,0.0,
1760397307.6012285,2025-10-13T18:15:07,23.0,83.0,1711.0,0.0,0.131,0.007,0.004,
1760397308.6348784,2025-10-13T18:15:08,23.2,82.9,1711.0,0.002,0.315,0.0,0.001,
1760397309.6650758,2025-10-13T18:15:09,21.5,82.9,1711.0,0.0,0.602,0.001,0.0,
1760397310.6900408,2025-10-13T18:15:10,20.7,82.9,1711.0,0.0,0.233,0.002,0.001,
1760397311.718877,2025-10-13T18:15:11,15.8,82.9,1711.0,0.0,0.0,0.001,0.001,
1760397312.7547688,2025-10-13T18:15:12,28.3,82.9,1711.0,4.846,0.549,0.0,0.001,
1760397313.7775717,2025-10-13T18:15:13,28.4,82.9,1711.0,4.53,0.659,0.0,0.0,
1760397314.8165407,2025-10-13T18:15:14,21.2,82.9,1711.0,1.634,1.163,0.006,0.007,
1760397315.8539183,2025-10-13T18:15:15,19.7,82.9,1711.0,0.0,0.311,0.0,0.0,
1760397316.8886914,2025-10-13T18:15:16,21.9,82.9,1711.0,0.033,0.7,0.0,0.0,
1760397317.9237475,2025-10-13T18:15:17,15.3,82.9,1711.0,0.016,0.434,0.0,0.001,
1760397318.9607553,2025-10-13T18:15:18,17.6,82.9,1711.0,0.0,0.209,0.044,0.003,
1760397319.9969604,2025-10-13T18:15:19,16.3,82.9,1711.0,0.0,0.098,0.009,0.005,
